profile,household_index,origin_index,timestamp_utc,horizon_step,actual_kwh,q10_kwh,median_kwh,q90_kwh,seasonal_naive_kwh
median,1553,7909,2013-11-27T06:00:00,18,0.09300000220537186,0.05871810019016266,0.07953508198261261,0.11635984480381012,0.0689999982714653
median,1553,7909,2013-11-27T07:00:00,19,0.09399999678134918,0.06462655961513519,0.09107717126607895,0.1575472354888916,0.08699999749660492
median,1553,7909,2013-11-27T08:00:00,20,0.11800000071525574,0.11519189178943634,0.18518298864364624,0.7921903133392334,0.14300000667572021
median,1553,7909,2013-11-27T09:00:00,21,1.0110000371932983,0.22043617069721222,1.0692005157470703,1.8974827527999878,0.9330000281333923
median,1553,7909,2013-11-27T10:00:00,22,1.86899995803833,0.12096294015645981,0.8537482023239136,1.8403220176696777,1.249000072479248
median,1553,7909,2013-11-27T11:00:00,23,0.07500000298023224,0.06819909811019897,0.20844964683055878,1.187369465827942,0.2619999945163727
median,1553,7909,2013-11-27T12:00:00,24,0.07599999755620956,0.06606931984424591,0.16888321936130524,0.834511399269104,0.164000004529953
p90,226,7909,2013-11-26T13:00:00,1,1.1979999542236328,0.3707888722419739,0.7542085647583008,2.147536516189575,1.7829999923706055
p90,226,7909,2013-11-26T14:00:00,2,3.8999998569488525,0.35320648550987244,0.739171028137207,2.290663480758667,1.0850000381469727
p90,226,7909,2013-11-26T15:00:00,3,1.2600001096725464,0.4042571187019348,1.2020970582962036,2.8310909271240234,1.7699999809265137
p90,226,7909,2013-11-26T16:00:00,4,0.39899998903274536,0.42230224609375,1.0204122066497803,2.686730146408081,0.4429999887943268
p90,226,7909,2013-11-26T17:00:00,5,0.44600000977516174,0.46101436018943787,1.0734679698944092,2.5028860569000244,0.42500001192092896
p90,226,7909,2013-11-26T18:00:00,6,0.4050000011920929,0.6919375658035278,1.546033501625061,2.658351421356201,1.5299999713897705
p90,226,7909,2013-11-26T19:00:00,7,0.5099999904632568,0.535585343837738,0.9095197916030884,2.05253005027771,1.215000033378601
p90,226,7909,2013-11-26T20:00:00,8,0.5429999828338623,0.4662582278251648,0.763848066329956,1.9019999504089355,1.6339999437332153
p90,226,7909,2013-11-26T21:00:00,9,0.48899999260902405,0.41042637825012207,0.6191210150718689,1.1727931499481201,0.8560000061988831
p90,226,7909,2013-11-26T22:00:00,10,0.3880000114440918,0.2668367922306061,0.44219809770584106,0.9522418975830078,0.4650000035762787
p90,226,7909,2013-11-26T23:00:00,11,0.375,0.12586915493011475,0.221492737531662,0.6967958807945251,0.18700000643730164
p90,226,7909,2013-11-27T00:00:00,12,0.21799999475479126,0.11877447366714478,0.15208852291107178,0.2640606462955475,0.15399999916553497
p90,226,7909,2013-11-27T01:00:00,13,0.15299999713897705,0.12185913324356079,0.14622771739959717,0.1992833912372589,0.16699999570846558
p90,226,7909,2013-11-27T02:00:00,14,0.13699999451637268,0.12309300899505615,0.14900389313697815,0.1940394937992096,0.16599999368190765
p90,226,7909,2013-11-27T03:00:00,15,0.15199999511241913,0.12278449535369873,0.15023773908615112,0.191263347864151,0.14300000667572021
p90,226,7909,2013-11-27T04:00:00,16,0.15199999511241913,0.12185913324356079,0.1514715850353241,0.19033795595169067,0.16200000047683716
p90,226,7909,2013-11-27T05:00:00,17,0.1860000044107437,0.12895378470420837,0.15764084458351135,0.20051723718643188,0.1679999977350235
p90,226,7909,2013-11-27T06:00:00,18,0.17399999499320984,0.15239697694778442,0.1992833912372589,0.2915138602256775,0.210999995470047
p90,226,7909,2013-11-27T07:00:00,19,0.28200000524520874,0.2236519753932953,0.33963412046432495,0.5619203448295593,0.4749999940395355
p90,226,7909,2013-11-27T08:00:00,20,0.8980000019073486,0.26961296796798706,0.4737384617328644,1.1086328029632568,1.3960000276565552
p90,226,7909,2013-11-27T09:00:00,21,0.2939999997615814,0.30693700909614563,0.7592982053756714,1.572561264038086,1.2100000381469727
p90,226,7909,2013-11-27T10:00:00,22,0.4490000009536743,0.31356897950172424,0.7212801575660706,1.739748239517212,1.3830000162124634
p90,226,7909,2013-11-27T11:00:00,23,0.6899999976158142,0.3516641855239868,0.7351609468460083,1.9390156269073486,1.062000036239624
p90,226,7909,2013-11-27T12:00:00,24,2.319000005722046,0.3834358751773834,0.8547675609588623,2.206761598587036,0.9179999828338623
